Date,Open,High,Low,Close,Volume
2015-01-09,15.84,16.0,15.65,15.66,0.0
2015-01-12,16.11,16.12,15.9,15.96,0.0
2015-01-13,16.38,16.47,16.29,16.33,0.0
2015-01-14,16.99,17.39,16.96,17.23,0.0
2015-01-15,16.08,16.55,16.04,16.46,0.0
2015-01-19,17.63,17.76,17.55,17.64,0.0
2015-01-20,17.25,17.4,17.14,17.17,0.0
2015-01-21,17.62,17.9,17.6,17.87,0.0
2015-01-22,18.57,18.66,18.22,18.59,0.0
2015-01-23,17.93,18.03,17.83,17.9,0.0
2015-01-27,18.14,18.4,18.07,18.31,0.0
2015-01-28,19.62,19.88,19.56,19.86,0.0
2015-01-29,19.49,19.55,19.24,19.37,0.0
2015-01-30,20.21,20.24,20.01,20.03,0.0
2015-02-02,20.39,20.42,20.19,20.23,0.0
2015-02-03,19.81,19.89,19.74,19.81,0.0
2015-02-04,19.97,20.29,19.97,20.14,0.0
2015-02-05,20.66,20.89,20.66,20.81,0.0
2015-02-06,20.76,20.77,20.61,20.66,0.0
2015-02-09,21.98,22.09,21.88,22.05,0.0
2015-02-10,21.13,21.63,21.02,21.38,0.0
2015-02-11,20.53,20.6,20.33,20.33,0.0
2015-02-12,19.98,20.52,19.97,20.39,0.0
2015-02-13,20.08,20.2,20.05,20.06,0.0
2015-02-16,20.86,21.12,20.85,21.05,0.0
2015-02-18,20.9,21.01,20.88,20.94,0.0
2015-02-19,20.39,20.47,20.26,20.33,0.0
2015-02-20,21.33,21.36,21.21,21.26,0.0
2015-02-23,21.67,21.83,21.51,21.57,0.0
2015-02-24,21.48,21.67,21.39,21.54,0.0
2015-02-25,20.65,20.93,20.62,20.76,0.0
2015-02-26,20.55,20.72,20.53,20.64,0.0
2015-02-27,19.58,19.73,19.47,19.5,0.0
2015-02-28,16.8,16.95,16.69,16.86,0.0
2015-03-02,15.81,16.0,15.74,15.84,0.0
2015-03-03,15.55,15.56,15.42,15.51,0.0
2015-03-04,15.17,15.4,15.14,15.34,0.0
2015-03-05,14.31,14.5,14.28,14.32,0.0
2015-03-09,15.76,16.01,15.76,15.97,0.0
2015-03-10,15.52,15.61,15.2,15.2,0.0
2015-03-11,15.16,15.27,15.06,15.17,0.0
2015-03-12,14.74,14.84,14.66,14.74,0.0
2015-03-13,15.0,15.12,14.83,15.12,0.0
2015-03-16,15.17,15.23,15.11,15.16,0.0
2015-03-17,15.27,15.3,15.06,15.08,0.0
2015-03-18,15.52,15.58,15.43,15.47,0.0
2015-03-19,15.24,15.44,15.2,15.37,0.0
2015-03-20,14.36,14.4,14.08,14.12,0.0
2015-03-23,14.34,14.39,14.11,14.15,0.0
2015-03-24,13.69,13.76,13.46,13.6,0.0
2015-03-25,13.08,13.34,13.05,13.28,0.0
2015-03-26,15.13,15.48,14.87,15.18,0.0
2015-03-27,14.42,14.57,14.39,14.49,0.0
2015-03-30,14.15,14.41,14.14,14.37,0.0
2015-03-31,14.51,14.57,14.35,14.39,0.0
2015-04-01,13.59,13.9,13.58,13.8,0.0
2015-04-06,14.56,14.66,14.5,14.61,0.0
2015-04-07,14.13,14.38,14.13,14.21,0.0
2015-04-08,14.38,14.41,14.22,14.23,0.0
2015-04-09,14.43,14.47,14.36,14.41,0.0
2015-04-10,14.25,14.29,14.21,14.29,0.0
2015-04-13,14.48,14.58,14.48,14.58,0.0
2015-04-15,14.63,14.78,14.5,14.77,0.0
2015-04-16,14.94,15.11,14.91,15.08,0.0
2015-04-17,15.0,15.16,14.99,15.16,0.0
2015-04-20,16.22,16.35,16.2,16.3,0.0
2015-04-21,17.07,17.13,16.74,16.82,0.0
2015-04-22,17.1,17.31,17.03,17.22,0.0
2015-04-23,18.47,18.65,18.38,18.5,0.0
2015-04-24,19.06,19.19,18.86,19.12,0.0
2015-04-27,18.46,19.16,18.32,19.01,0.0
2015-04-28,17.17,17.75,17.17,17.66,0.0
2015-04-29,17.09,17.37,17.0,17.36,0.0
2015-04-30,17.3,17.33,17.03,17.05,0.0
2015-05-04,17.27,17.33,17.14,17.18,0.0
2015-05-05,17.35,17.42,17.33,17.41,0.0
2015-05-06,19.74,19.77,19.5,19.56,0.0
2015-05-07,19.57,19.9,19.06,19.31,0.0
2015-05-08,19.08,19.29,19.08,19.12,0.0
2015-05-11,18.61,18.7,18.4,18.51,0.0
2015-05-12,20.55,21.33,20.38,20.65,0.0
2015-05-13,20.67,20.82,20.53,20.53,0.0
2015-05-14,20.63,20.7,20.16,20.19,0.0
2015-05-15,19.81,19.89,19.62,19.65,0.0
2015-05-18,17.82,18.04,17.78,17.93,0.0
2015-05-20,17.72,17.77,17.61,17.67,0.0
2015-05-21,17.43,17.55,17.33,17.39,0.0
2015-05-22,16.92,17.12,16.85,17.06,0.0
2015-05-25,16.95,17.06,16.57,16.85,0.0
2015-05-26,17.11,17.18,16.96,17.18,0.0
2015-05-27,17.25,17.42,17.19,17.35,0.0
2015-05-28,16.96,17.47,16.96,17.39,0.0
2015-05-29,16.65,16.68,16.44,16.54,0.0
2015-06-01,16.94,16.98,16.86,16.89,0.0
2015-06-02,16.77,17.14,16.77,16.98,0.0
2015-06-03,17.52,17.57,17.4,17.42,0.0
2015-06-04,18.15,18.16,17.93,18.03,0.0
2015-06-05,18.05,18.23,18.02,18.12,0.0
2015-06-08,18.88,18.9,18.67,18.67,0.0
2015-06-09,17.99,18.59,17.69,17.8,0.0
2015-06-10,17.11,17.21,16.93,16.94,0.0
2015-06-11,17.74,17.95,17.72,17.85,0.0
2015-06-12,17.52,17.54,17.19,17.19,0.0
2015-06-15,17.5,17.54,17.45,17.52,0.0
2015-06-16,17.02,17.85,17.01,17.08,0.0
2015-06-17,16.74,16.78,16.6,16.6,0.0
2015-06-18,16.05,16.08,15.95,16.01,0.0
2015-06-19,15.13,15.2,15.01,15.07,0.0
2015-06-22,15.45,15.66,15.4,15.49,0.0
