Date,fii_net,dii_net,FII_Net_Buy,DII_Net_Buy
2026-03-18,-2714.35,3253.03,,
2026-03-19,-7558.19,3863.96,,
2026-03-27,,,0.0,0.0
2026-03-30,,,0.0,0.0
2026-04-01,,,0.0,0.0
2026-04-02,,,0.0,0.0
2026-04-06,,,0.0,0.0
2026-04-07,,,0.0,0.0
2026-04-08,,,0.0,0.0
2026-04-09,,,0.0,0.0
2026-04-10,,,0.0,0.0
2026-04-13,,,0.0,0.0
2026-04-15,,,0.0,0.0
2026-04-16,,,0.0,0.0
2026-04-17,,,0.0,0.0
2026-04-21,,,0.0,0.0
2026-04-22,,,0.0,0.0
2026-04-23,,,0.0,0.0
2026-04-24,,,0.0,0.0
2026-04-27,,,0.0,0.0
2026-04-29,,,0.0,0.0
2026-04-30,,,0.0,0.0
2026-05-04,,,0.0,0.0
2026-05-06,,,0.0,0.0
2026-05-07,,,0.0,0.0
2026-05-08,,,0.0,0.0
2026-05-11,,,0.0,0.0
2026-05-12,,,0.0,0.0
2026-05-13,,,0.0,0.0
2026-05-14,,,0.0,0.0
2026-05-15,,,0.0,0.0
2026-05-18,,,0.0,0.0
2026-05-19,,,0.0,0.0
2026-05-20,,,0.0,0.0
2026-05-21,,,0.0,0.0
2026-05-22,,,0.0,0.0
2026-05-29,,,0.0,0.0
2026-06-01,,,0.0,0.0
2026-06-02,,,0.0,0.0
2026-06-03,,,0.0,0.0
2026-06-04,,,0.0,0.0
2026-06-05,,,0.0,0.0
2026-06-08,,,0.0,0.0
2026-06-09,,,0.0,0.0
2026-06-10,,,0.0,0.0
2026-06-11,,,0.0,0.0
2026-06-12,,,0.0,0.0
2026-06-15,,,0.0,0.0
2026-06-16,,,0.0,0.0
2026-06-17,,,0.0,0.0
2026-06-18,,,0.0,0.0
2026-06-19,,,0.0,0.0
2026-06-22,,,0.0,0.0
2026-06-23,,,0.0,0.0
2026-06-24,,,0.0,0.0
2026-06-25,,,0.0,0.0
2026-06-29,,,0.0,0.0
2026-06-30,,,0.0,0.0
2026-07-01,,,0.0,0.0
2026-07-02,,,0.0,0.0
2026-07-03,,,0.0,0.0
2026-07-06,,,0.0,0.0
2026-07-07,,,0.0,0.0
2026-07-08,,,0.0,0.0
2026-07-09,,,0.0,0.0
2026-07-10,,,0.0,0.0
2026-07-13,,,0.0,0.0
2026-07-14,,,0.0,0.0
2026-07-15,,,0.0,0.0
2026-07-16,,,0.0,0.0
2026-07-17,,,0.0,0.0
2026-07-20,,,0.0,0.0
2026-07-21,,,0.0,0.0
2026-07-22,,,0.0,0.0
2026-07-23,,,0.0,0.0
2026-07-27,,,0.0,0.0
2026-07-28,,,0.0,0.0
2026-07-29,,,0.0,0.0
2026-07-30,,,0.0,0.0
2026-07-31,,,0.0,0.0
2026-08-03,,,0.0,0.0
2026-08-04,,,0.0,0.0
2026-08-05,,,0.0,0.0
2026-08-06,,,0.0,0.0
2026-08-07,,,0.0,0.0
2026-08-10,,,0.0,0.0
2026-08-11,,,0.0,0.0
2026-08-12,,,0.0,0.0
2026-08-13,,,0.0,0.0
2026-08-14,,,0.0,0.0
2026-08-17,,,0.0,0.0
2026-08-18,,,0.0,0.0
2026-08-19,,,0.0,0.0
2026-08-20,,,0.0,0.0
2026-08-21,,,0.0,0.0
2026-08-24,,,0.0,0.0
2026-08-26,,,0.0,0.0
2026-08-27,,,0.0,0.0
2026-08-28,,,0.0,0.0
